"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0034960","J.Meyers","JAX","WR",61,42,0.218393671093797,0.60655737704918,483,9.37704918032787,3.07142857142857,3,0,0,0,0,0,0
"00-0037291","J.Nailor","MIN","WR",54,29,0.214122020283413,0.518518518518518,444,12.377358490566,3.86206896551724,4,0,0,0,0,0,0
"00-0040311","T.Wease","MIA","WR",10,6,0.213715826295083,0.6,139,13.7,10.5,1,0,0,0,0,0,0
"00-0032775","D.Robinson","SF","WR",36,22,0.210320396195323,0.527777777777778,276,13.4857142857143,1.63636363636364,1,0,0,0,0,0,0
"00-0040124","T.McMillan","CAR","WR",122,70,0.207254885968958,0.5,1013,11.5573770491803,3.82857142857143,7,0,0,0,0,0,0
"00-0039894","X.Worthy","KC","WR",73,42,0.203123457104161,0.465753424657534,532,12.9315068493151,4.59523809523809,1,11,0.32589006769492,0.636363636363636,87,7.90909090909091,0
"00-0039067","R.Rice","KC","WR",79,53,0.202777823557382,0.518987341772152,571,4.33333333333333,7.81132075471698,5,0,0,0,0,0,0
"00-0038619","A.Iosivas","CIN","WR",58,33,0.201323406298985,0.5,435,10.448275862069,3.12121212121212,2,0,0,0,0,0,0
"00-0039901","K.Coleman","BUF","WR",62,38,0.199857055099505,0.580645161290323,404,11.1694915254237,2.31578947368421,4,0,0,0,0,0,0
"00-0036252","M.Pittman","IND","WR",114,80,0.195777786749231,0.552631578947368,793,8.17117117117117,3.35,7,0,0,0,0,0,0
"00-0039739","R.Wilson","PIT","WR",21,12,0.193767864508457,0.333333333333333,166,13.1904761904762,5.5,2,0,0,0,0,0,0
"00-0030035","A.Thielen","PIT","WR",17,11,0.189492489704314,0.647058823529412,117,9.47058823529412,3.09090909090909,0,0,0,0,0,0,0
"00-0039893","B.Thomas","JAX","WR",91,48,0.18902232727569,0.483516483516484,707,14.4505494505495,3.3125,2,0,0,0,0,0,0
"00-0036849","T.Atwell","LA","WR",15,6,0.185034637171314,0.333333333333333,192,20.1333333333333,11.1666666666667,1,0,0,0,0,0,0
"00-0036988","J.Palmer","BUF","WR",37,22,0.18225979566179,0.432432432432432,303,11.4594594594595,2.45454545454545,0,0,0,0,0,0,0
"00-0038994","J.Addison","MIN","WR",79,42,0.177080651657128,0.481012658227848,610,13.7088607594937,3.30952380952381,3,0,0,0,0,0,0
"00-0035719","D.Samuel","WAS","WR",100,72,0.176210900149823,0.54,727,5.32323232323232,6.47222222222222,5,17,0.00838826834703522,0.294117647058824,75,4.41176470588235,1
"00-0036415","V.Jefferson","TEN","WR",52,29,0.171893202715727,0.5,350,11.9807692307692,2.86206896551724,1,0,0,0,0,0,0
"00-0038979","C.Tillman","CLE","WR",39,21,0.167367873885888,0.41025641025641,270,11.8717948717949,2.95238095238095,2,0,0,0,0,0,0
"00-0034827","D.Moore","CHI","WR",85,50,0.160272911676312,0.458823529411765,667,11.6235294117647,4.14,6,17,0.206927021852393,0.529411764705882,82,4.82352941176471,1
"00-0039379","J.Thrash","CLE","WR",15,10,0.156719944061479,0.4,107,6.8,3.9,0,0,0,0,0,0,0
"00-0037666","J.Tolbert","DAL","WR",35,18,0.140315197764979,0.428571428571429,203,12,2.55555555555556,1,0,0,0,0,0,0
"00-0036133","J.Proche","TEN","WR",12,6,0.139743362907514,0.333333333333333,65,14.5833333333333,0.333333333333333,0,0,0,0,0,0,0
"00-0038117","W.Robinson","NYG","WR",141,92,0.138032220639225,0.453900709219858,1014,8.47857142857143,4.19565217391304,4,0,0,0,0,0,0
"00-0035500","G.Dortch","ARI","WR",33,29,0.128820639685865,0.393939393939394,206,1.75757575757576,6.68965517241379,3,0,0,0,0,0,0
"00-0038839","M.Tinsley","CIN","WR",24,8,0.109516530162934,0.333333333333333,116,14.75,2,2,0,0,0,0,0,0
"00-0033908","C.Kupp","SEA","WR",71,47,0.107585206942525,0.577464788732394,593,7.5,6.23404255319149,2,0,0,0,0,0,0
"00-0039751","J.Whittington","LA","WR",25,18,0.102545179390266,0.52,171,6.84,4.88888888888889,0,0,0,0,0,0,0
"00-0038997","J.Downs","IND","WR",88,58,0.0983807974162833,0.5,559,7.48863636363636,2.36206896551724,5,0,0,0,0,0,0
"00-0039868","T.Franklin","DEN","WR",107,65,0.0914815774199171,0.467289719626168,709,12.7019230769231,4.33846153846154,6,0,0,0,0,0,0
"00-0039521","X.Weaver","ARI","WR",13,7,0.0883036024887131,0.307692307692308,67,14.7692307692308,2.85714285714286,0,0,0,0,0,0,0
"00-0031408","M.Evans","TB","WR",62,30,0.0849407252076584,0.467741935483871,368,13.2903225806452,1.23333333333333,3,0,0,0,0,0,0
