"rusher_player_id","rusher_player_name","posteam","position","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns"
"00-0038705","E.Demercado","ARI","RB",44,-0.156850589331905,0.318181818181818,312,7.09090909090909,0,20,13,-0.0793777480026334,0.3,101,0.6,6.46153846153846,1
"00-0040730","R.Harvey","DEN","RB",166,-0.160495569696658,0.355421686746988,597,3.59638554216867,7,58,47,0.32888779772057,0.5,356,0.482758620689655,7.65957446808511,5
"00-0037617","H.Haskins","LAC","RB",17,-0.16984018740614,0.176470588235294,47,2.76470588235294,0,0,0,0,0,0,0,0,0
"00-0036328","A.Gibson","NE","RB",25,-0.18806073670974,0.44,106,4.24,1,0,0,0,0,0,0,0,0
"00-0040586","J.Blue","DAL","RB",38,-0.197043038325654,0.289473684210526,129,3.39473684210526,1,0,0,0,0,0,0,0,0
"00-0037157","Z.Knight","ARI","RB",83,-0.197440151924845,0.373493975903614,269,3.24096385542169,4,31,22,0.0453118503848541,0.451612903225806,160,1.19354838709677,6.86363636363636,1
"00-0037745","V.Jones","SEA","RB",10,-0.204360434575938,0.3,42,4.2,0,0,0,0,0,0,0,0,0
"00-0039361","B.Irving","TB","RB",173,-0.205649781529785,0.346820809248555,588,3.39884393063584,1,35,30,0.251782176977888,0.4,277,-1.6,12,3
"00-0039405","J.Jordan","HOU","RB",43,-0.209182203284188,0.255813953488372,193,4.48837209302326,0,0,0,0,0,0,0,0,0
"00-0033906","A.Kamara","NO","RB",131,-0.21965627940333,0.320610687022901,471,3.59541984732824,1,39,33,-0.299275136638115,0.333333333333333,186,0.846153846153846,6.12121212121212,0
"00-0040078","B.Smith","KC","RB",44,-0.221458247730466,0.295454545454545,151,3.43181818181818,0,35,25,-0.0176286727586228,0.428571428571429,172,-1.6,9.28,1
"00-0040122","A.Jeanty","LV","RB",267,-0.244123735477325,0.318352059925094,975,3.65168539325843,5,73,55,-0.162694736463311,0.36986301369863,346,-1.42465753424658,8.21818181818182,6
"00-0036842","K.Nwangwu","NYJ","RB",13,-0.244790727312927,0.384615384615385,49,3.76923076923077,0,0,0,0,0,0,0,0,0
"00-0040208","T.Brooks","CIN","RB",16,-0.254448928986676,0.25,45,2.8125,0,0,0,0,0,0,0,0,0
"00-0039746","W.Shipley","PHI","RB",14,-0.257106702656147,0.285714285714286,49,3.5,0,12,9,-0.423926040544757,0.166666666666667,56,-0.833333333333333,7,0
"00-0040162","D.Sampson","CLE","RB",65,-0.2588099568317,0.261538461538462,175,2.69230769230769,0,40,33,0.172482841496094,0.5,271,-1.55,9.63636363636364,2
"00-0040142","K.Johnson","PIT","RB",28,-0.27562277457872,0.25,69,2.46428571428571,0,0,0,0,0,0,0,0,0
"00-0038440","Z.Scott","MIN","RB",32,-0.281238684876371,0.40625,114,3.5625,0,16,14,-0.0476533105793351,0.4375,98,1.0625,7.5,1
"00-0037594","J.Chestnut","TEN","RB",11,-0.294454133315205,0.363636363636364,40,3.63636363636364,0,0,0,0,0,0,0,0,0
"00-0037276","T.Chandler","MIN","RB",17,-0.32390114710228,0.176470588235294,47,2.76470588235294,0,0,0,0,0,0,0,0,0
"00-0033854","D.Ogunbowale","HOU","RB",11,-0.332885968587437,0.272727272727273,25,2.27272727272727,1,13,10,-0.709776963751106,0.230769230769231,76,1.84615384615385,5.6,0
"00-0035628","D.Johnson","NE","RB",13,-0.389792385802139,0.0769230769230769,25,1.92307692307692,0,0,0,0,0,0,0,0,0
"00-0039299","G.Holani","SEA","RB",27,-0.402526519370198,0.222222222222222,83,3.07407407407407,1,0,0,0,0,0,0,0,0
"00-0038397","E.Hull","NO","RB",19,-0.406207597933979,0.157894736842105,48,2.52631578947368,0,0,0,0,0,0,0,0,0
"00-0031687","R.Mostert","LV","RB",22,-0.411602066623911,0.318181818181818,104,4.72727272727273,0,12,12,0.121722854159695,0.333333333333333,70,-1.33333333333333,7.16666666666667,0
"00-0039794","B.Allen","NYJ","RB",19,-0.457873327082391,0.315789473684211,76,4,1,0,0,0,0,0,0,0,0
"00-0038040","Z.White","LV","RB",12,-0.630961184787642,0.0833333333333333,32,2.66666666666667,0,0,0,0,0,0,0,0,0
